LIFNR	BANKS	BANKL	BANKN	KOINH	BVTYP
0000100043	LU	62790652	441751437480	Blue Harbour Technologies Pte	""
0000100044	LU	23521645	812713310199	Vertex Services SARL	""
0000100045	VN	35747742	583945150201	Northgate Technologies Pte	""
0000100046	US	80889685	374934831758	Orion Manufacturing Sdn Bhd	""
0000100047	US	54551876	101238438746	Windward Components Ltd	0001
0000100048	NL	28764692	645422039571	Northgate Materials Corp	""
0000100049	US	29006208	340525062545	Orion Logistics GmbH	0001
0000100050	GB	66008192	974491117518	Meridian Components Ltd	0001
0000100050	DE	78639943	288986585317	Meridian Components Ltd	""
0000100051	KY	20672631	927797454577	Ironwood Technologies Pte	""
0000100052	IN	35771224	171102167128	Sable Technologies Pte	""
0000100053	DE	62131388	588370033039	Northgate Trading BV	0001
0000100054	US	52313956	419907798618	Pacific Technologies Pte	0001
0000100055	JP	19452266	729329518001	Tamarind Technologies Pte	""
0000100056	US	30906351	759206391538	Vertex Supplies SA	0001
0000100057	NL	11624305	516650157860	Lumen Components Ltd	""
0000100058	FR	24903295	312650930554	Beacon Electronics Co	""
0000100058	TH	88083229	888993375908	Beacon Electronics Co	""
0000100059	US	67105144	499246755071	Cobalt Components Ltd	""
0000100060	VN	25657672	692458135068	Arcadia Electronics Co	0001
0000100061	HK	87458100	788237533357	Granite Logistics GmbH	""
0000100062	NL	70842539	158921186548	Blue Harbour Materials Corp	""
0000100062	VN	47480296	972577225798	Blue Harbour Materials Corp	""
0000100063	US	25621030	415376163541	Everest Components Ltd	""
0000100064	US	91595176	859319166858	Sable Materials Corp	0001
0000100065	JP	32368213	341031836570	Ironwood Components Ltd	0001
0000100066	GB	40383837	268153395035	Ironwood Supplies SA	""
0000100066	DE	95986058	481761408736	Ironwood Supplies SA	""
0000100067	JP	73426814	944776402194	Everest Services SARL	0001
0000100067	GB	62787313	539015836952	Everest Services SARL	0002
0000100068	NL	89826669	685450300202	Blue Harbour Materials Corp	0001
0000100069	US	60475319	250778609500	Windward Supplies SA	0001
0000100070	US	41357924	955686910436	Orion Components Ltd	""
0000100070	SG	22104262	790571161229	Orion Components Ltd	""
0000100071	GB	56458273	449335749688	Beacon Logistics GmbH	""
0000100072	VN	45303803	348529498657	Lumen Industries Inc	""
0000100073	KR	48913723	997661500208	Orion Trading BV	""
0000100074	FR	82688719	419704331560	Granite Trading BV	""
0000100074	CH	41771324	135757606305	Granite Trading BV	0002
0000100075	VN	75845557	997493393867	Vertex Components Ltd	""
0000100075	CH	26864225	554937857242	Vertex Components Ltd	0002
0000100076	US	39837440	827249192792	Northgate Logistics GmbH	""
0000100077	FR	81869137	946771723371	Pacific Components Ltd	""
0000100078	FR	26353580	580746929261	Meridian Trading BV	0001
0000100079	GB	38907362	864803155345	Ironwood Technologies Pte	0001
0000100080	KR	13065710	721471672156	Everest Manufacturing Sdn Bhd	""
0000100081	NL	96780064	753145321054	Silverline Trading BV	""
0000100082	US	39896500	848975130619	Cobalt Trading BV	0001
0000100083	GB	17383440	222330066193	Beacon Industries Inc	""
0000100084	NL	51274688	448733970274	Northgate Services SARL	""
0000100084	DE	37249982	159729154962	Northgate Services SARL	0002
0000100085	FR	41409710	380197122647	Tamarind Services SARL	""
0000100086	JP	21393355	130826805617	Cobalt Manufacturing Sdn Bhd	""
0000100087	CH	62959996	352314247683	Kestrel Services SARL	""
0000100088	US	84288173	343078878460	Silverline Components Ltd	""
0000100089	SG	24351501	547562047687	Meridian Logistics GmbH	""
0000100089	PA	95629553	312604624762	Meridian Logistics GmbH	0002
0000100090	VN	76901250	794830757837	Vertex Supplies SA	0001
0000100091	MY	47587409	756004080929	Orion Technologies Pte	0001
0000100091	US	32967867	457174819792	Orion Technologies Pte	0002
0000100092	GB	60511606	995656585072	Everest Services SARL	0001
0000100093	VN	63369271	954072047733	Meridian Logistics GmbH	""
0000100093	PA	69328482	268474540316	Meridian Logistics GmbH	""
0000100094	GB	19780489	626373824138	Blue Harbour Trading BV	0001
0000100094	PA	28030483	702348596111	Blue Harbour Trading BV	0002
0000100095	HK	37388179	766581395641	Cobalt Materials Corp	""
0000100096	MY	61306407	864250072352	Arcadia Services SARL	""
0000100096	KR	29798837	308723117516	Arcadia Services SARL	0002
0000100097	JP	97755568	531583882048	Sable Materials Corp	""
0000100098	NL	22374952	299512762389	Lumen Supplies SA	""
0000100099	US	54771048	705132099731	Arcadia Industries Inc	""
0000100100	US	83783709	248800111960	Northgate Supplies SA	""
0000100100	PA	74674857	471815534883	Northgate Supplies SA	""
0000100101	HK	72804201	393908080814	Cobalt Electronics Co	""
0000100101	PA	21442924	687177910062	Cobalt Electronics Co	""
0000100102	LU	58172403	681835299687	Northgate Supplies SA	""
0000100102	FR	34474544	475376222716	Northgate Supplies SA	""
0000100103	GB	18446502	829286802286	Cobalt Supplies SA	""
0000100104	JP	15523744	582830586905	Solstice Industries Inc	""
0000100105	KY	41272939	415057517656	Orion Electronics Co	""
0000100106	NL	39955649	625232679079	Beacon Components Ltd	""
0000100107	TH	40284181	540304624009	Vertex Technologies Pte	""
0000100108	GB	63736896	213134826043	Lumen Manufacturing Sdn Bhd	""
0000100108	PA	90651759	843924392231	Lumen Manufacturing Sdn Bhd	0002
0000100109	SG	10993383	203272382197	Halcyon Materials Corp	""
0000100109	KR	42103991	620506615275	Halcyon Materials Corp	0002
0000100110	JP	65286624	753003898210	Everest Electronics Co	0001
0000100111	HK	76709858	303243523670	Granite Components Ltd	""
0000100111	US	16416357	741992408899	Granite Components Ltd	0002
0000100112	JP	28466103	512459616279	Blue Harbour Industries Inc	""
0000100113	IT	23492179	334547204793	Solstice Supplies SA	""
0000100113	AE	99311566	740298513123	Solstice Supplies SA	0002
0000100114	AE	95240657	842749407995	Vertex Supplies SA	""
0000100114	JP	35654496	435936867820	Vertex Supplies SA	""
0000100115	GB	72900778	221190839474	Northgate Components Ltd	""
0000100116	GB	44942630	343779026352	Everest Trading BV	""
0000100117	NL	36223965	688310706852	Arcadia Electronics Co	""
0000100118	KY	37157978	632023620843	Halcyon Electronics Co	""
0000100119	MY	67049256	435271332935	Solstice Services SARL	""
0000100120	NL	41426717	474641216753	Silverline Technologies Pte	""
0000100121	IN	33434746	339549503813	Northgate Manufacturing Sdn Bhd	0001
0000100121	LU	58191303	887633930855	Northgate Manufacturing Sdn Bhd	""
0000100122	KY	21762038	736685060032	Meridian Technologies Pte	0001
0000100123	GB	23328400	647628289673	Windward Manufacturing Sdn Bhd	""
0000100124	FR	82278014	450067883263	Windward Components Ltd	""
0000100125	FR	58254718	114999823078	Arcadia Components Ltd	""
0000100126	PA	96077259	700304622697	Lumen Industries Inc	""
0000100127	VN	81721199	898354080517	Arcadia Manufacturing Sdn Bhd	""
0000100128	PA	30606663	488028069394	Tamarind Industries Inc	""
0000100128	FR	18833325	346943568012	Tamarind Industries Inc	""
0000100129	VN	57208018	436555798889	Silverline Trading BV	0001
0000100129	CN	69858916	672797805865	Silverline Trading BV	""
0000100130	GB	56772201	161596825615	Northgate Components Ltd	""
0000100131	GB	19983919	485337106420	Vertex Services SARL	""
0000100132	VN	22163712	926767011786	Everest Logistics GmbH	""
0000100132	JP	29871170	321750692943	Everest Logistics GmbH	0002
0000100133	MY	95339324	544983459133	Blue Harbour Materials Corp	""
0000100133	PA	99543483	714089126026	Blue Harbour Materials Corp	""
0000100134	JP	64457701	506501184225	Silverline Trading BV	0001
0000100135	VN	86858633	837131982554	Tamarind Trading BV	""
0000100136	JP	72939765	634050237433	Tamarind Logistics GmbH	""
0000100137	IN	50267451	920363892729	Sable Logistics GmbH	0001
0000100138	US	33984711	558674635678	Arcadia Logistics GmbH	0001
0000100138	KR	27526536	311888780197	Arcadia Logistics GmbH	""
0000100139	US	96004385	494053796608	Lumen Components Ltd	""
0000100140	US	52712432	395971531261	Windward Manufacturing Sdn Bhd	""
0000100141	GB	63523669	220384348591	Pacific Manufacturing Sdn Bhd	""
0000100142	JP	74202218	749867911098	Tamarind Trading BV	""
0000100142	CH	26332629	968032505090	Tamarind Trading BV	""
0000100143	VN	66810122	615137244503	Windward Industries Inc	0001
0000100144	JP	58547215	609051594626	Silverline Supplies SA	0001
0000100145	TH	45626054	900871685525	Arcadia Components Ltd	""
0000100146	GB	16228454	529044157661	Kestrel Components Ltd	""
0000100147	LU	77166963	481998672846	Granite Manufacturing Sdn Bhd	0001
0000100148	JP	18346277	502785686707	Beacon Components Ltd	""
0000100149	NL	22623216	216933740924	Cobalt Industries Inc	""
0000100149	LU	62801557	452631390161	Cobalt Industries Inc	0002
0000100150	NL	99204204	229728359634	Lumen Industries Inc	""
0000100150	VN	71837783	732162567328	Lumen Industries Inc	""
0000100151	SG	22328019	247686889008	Arcadia Electronics Co	""
0000100152	CH	58266605	950813073891	Orion Technologies Pte	0001
0000100153	GB	44558820	602338959450	Pacific Technologies Pte	""
0000100154	NL	42529552	957794607110	Kestrel Supplies SA	""
0000100154	PA	75203953	266257490164	Kestrel Supplies SA	""
0000100155	VN	54266792	354728841367	Northgate Industries Inc	""
0000100156	MY	64144327	935994821748	Beacon Components Ltd	""
0000100157	NL	53854924	946159065575	Solstice Materials Corp	""
0000100158	IN	59813925	910163497323	Meridian Industries Inc	0001
0000100159	VN	26818135	624492704611	Beacon Supplies SA	0001
0000100159	HK	71909098	568474908754	Beacon Supplies SA	""
0000100160	GB	19680725	359402765433	Silverline Supplies SA	0001
0000100161	CH	89599035	627671944846	Meridian Manufacturing Sdn Bhd	""
0000100162	DE	68793440	730678397624	Windward Trading BV	""
0000100162	CN	24111221	200065868725	Windward Trading BV	""
0000100163	NL	73697635	654546966420	Lumen Supplies SA	""
0000100164	KY	37003108	370585844993	Vertex Logistics GmbH	""
0000100165	KY	61950060	137029152817	Lumen Industries Inc	""
0000100166	JP	59102536	293567306717	Windward Materials Corp	""
0000100167	NL	77781838	863950151536	Silverline Industries Inc	""
0000100167	LU	81114917	326969535910	Silverline Industries Inc	0002
0000100168	FR	90250808	495698802693	Meridian Trading BV	""
0000100168	VN	90827164	225793207508	Meridian Trading BV	""
0000100169	KR	10131743	308130736665	Arcadia Industries Inc	""
0000100170	US	96644251	251728740582	Sable Technologies Pte	0001
0000100171	GB	46047970	252290816740	Arcadia Materials Corp	""
0000100172	AE	65397382	408621063101	Granite Components Ltd	""
0000100173	GB	89320499	537591980187	Solstice Components Ltd	0001
0000100174	TH	55995963	943507901473	Orion Trading BV	0001
0000100175	GB	42300255	293053189631	Meridian Components Ltd	""
0000100176	LU	96761901	185576258731	Tamarind Services SARL	""
0000100177	GB	19047916	216951651637	Everest Electronics Co	0001
0000100178	JP	43205547	301437615737	Cobalt Components Ltd	0001
0000100179	MY	23180418	724188162226	Arcadia Supplies SA	0001
0000100180	NL	44453478	869033761358	Arcadia Components Ltd	""
0000100181	IN	20051955	744628270946	Orion Technologies Pte	0001
0000100182	KR	82504161	842926258750	Beacon Logistics GmbH	""
0000100182	NL	26655697	824470428524	Beacon Logistics GmbH	""
0000100183	GB	70660630	280526127403	Solstice Services SARL	""
0000100184	NL	78116593	819804469431	Everest Components Ltd	""
0000100185	FR	90422398	448922423471	Cobalt Manufacturing Sdn Bhd	0001
0000100186	HK	13143358	588008931729	Beacon Materials Corp	""
0000100187	US	69093478	198978912962	Granite Materials Corp	""
0000100187	IN	76831752	146574196908	Granite Materials Corp	""
0000100188	FR	28473692	913982236501	Northgate Industries Inc	""
0000100189	US	11545382	954666270300	Windward Industries Inc	""
0000100190	JP	23051279	187889203036	Arcadia Manufacturing Sdn Bhd	""
0000100191	CH	75724072	152012024636	Arcadia Logistics GmbH	0001
0000100192	US	41301467	349092592581	Everest Industries Inc	""
0000100193	VN	78676377	514467328363	Kestrel Industries Inc	""
0000100193	GB	68302468	449514939135	Kestrel Industries Inc	""
0000100194	AE	42984605	769615399785	Solstice Services SARL	""
0000100195	GB	61381510	716425251145	Cobalt Industries Inc	""
0000100195	LU	94207715	559999654148	Cobalt Industries Inc	""
0000100196	TH	11431037	116452155004	Halcyon Components Ltd	""
0000100197	NL	85644215	335351545618	Solstice Manufacturing Sdn Bhd	""
0000100198	VN	12180587	281908410434	Kestrel Logistics GmbH	""
0000100199	JP	95274572	869673289097	Everest Services SARL	""
0000100200	GB	14169784	271274112337	Cobalt Supplies SA	""
0000100201	IN	66275595	107493434933	Northgate Manufacturing Sdn Bhd	""
0000100201	KR	19458514	601641006182	Northgate Manufacturing Sdn Bhd	""
0000100202	AE	55655272	312972915162	Vertex Components Ltd	""
0000100203	LU	98926401	493165375436	Cobalt Manufacturing Sdn Bhd	""
0000100204	VN	50658756	716945698886	Halcyon Services SARL	""
0000100204	CN	57358997	150810564037	Halcyon Services SARL	""
0000100205	VN	53886511	840621508363	Everest Logistics GmbH	""
0000100206	CN	45769947	839721371104	Blue Harbour Manufacturing Sdn Bhd	""
0000100207	US	32159572	318183042925	Lumen Industries Inc	""
0000100208	JP	68201260	955226404141	Granite Logistics GmbH	""
0000100209	HK	34608482	162049692219	Vertex Technologies Pte	0001
0000100210	VN	36199932	212404868372	Granite Electronics Co	""
0000100211	VN	91685304	400870495615	Blue Harbour Components Ltd	""
0000100212	CN	90567347	289140513738	Orion Technologies Pte	""
0000100212	NL	74704955	593526729426	Orion Technologies Pte	0002
0000100213	LU	49146502	930061171730	Tamarind Electronics Co	0001
0000100214	AE	13946588	569334956446	Cobalt Materials Corp	0001
0000100215	NL	69808224	482217078997	Ironwood Materials Corp	""
0000100216	CH	33630918	205524993513	Orion Electronics Co	0001
0000100216	FR	14895909	761025814979	Orion Electronics Co	""
0000100217	PA	34977164	636559713725	Pacific Trading BV	""
0000100218	LU	82348851	886161819527	Solstice Components Ltd	""
0000100219	KY	96974492	920333735921	Granite Components Ltd	""
0000100220	VN	83329825	201705257219	Beacon Trading BV	""
0000100221	FR	76156437	763225463149	Lumen Services SARL	""
0000100222	NL	15329444	257230779943	Granite Materials Corp	""
0000100223	JP	45964140	640750793505	Vertex Electronics Co	0001
0000100224	NL	73200056	593432426875	Vertex Electronics Co	""
0000100225	DE	20168279	201683841848	Solstice Materials Corp	""
0000100226	KR	31936405	892153318013	Arcadia Trading BV	""
0000100227	VN	76689038	482811364521	Northgate Materials Corp	""
0000100228	VN	57594652	107037206757	Orion Logistics GmbH	""
0000100229	CN	81710741	501467947079	Beacon Industries Inc	""
0000100230	US	99397303	318214404964	Cobalt Components Ltd	0001
0000100231	GB	23495491	225082444960	Kestrel Materials Corp	0001
0000100232	VN	75856067	448603718590	Ironwood Industries Inc	""
0000100233	HK	46383748	636399145102	Solstice Materials Corp	""
0000100234	US	99454310	174426110705	Orion Logistics GmbH	""
0000100235	JP	81186416	217754345824	Tamarind Technologies Pte	""
0000100235	FR	87001201	400818815138	Tamarind Technologies Pte	""
0000100236	VN	65066715	313698651987	Lumen Technologies Pte	""
0000100236	KR	24263964	364634619217	Lumen Technologies Pte	""
0000100237	JP	90611674	688387822329	Blue Harbour Technologies Pte	""
0000100238	KY	95242660	335383285064	Solstice Technologies Pte	""
0000100239	VN	53281931	340551781710	Granite Materials Corp	""
0000100239	LU	42281929	985418269064	Granite Materials Corp	""
0000100240	NL	28297329	986315101416	Tamarind Industries Inc	0001
0000100241	NL	14691715	610949249962	Arcadia Services SARL	0001
0000100241	FR	54970444	408923747240	Arcadia Services SARL	0002
0000100242	NL	72828626	177197583898	Lumen Logistics GmbH	""
0000100243	VN	76830738	444324832479	Silverline Logistics GmbH	""
0000100244	DE	23449964	528018682853	Lumen Materials Corp	""
0000100245	GB	51356774	908384435633	Tamarind Trading BV	""
0000100246	HK	10816310	675387049337	Sable Supplies SA	""
0000100247	NL	24855334	431400983391	Sable Electronics Co	""
0000100248	KR	44677047	852875633527	Ironwood Trading BV	""
0000100249	VN	42213191	492658640004	Everest Supplies SA	""
0000100250	CH	86530370	297260356874	Vertex Electronics Co	""
0000100251	US	18517792	585678189716	Meridian Services SARL	""
0000100251	PA	22082656	927069959611	Meridian Services SARL	""
0000100252	VN	61760648	171479751780	Sable Trading BV	0001
0000100253	TH	52607207	462790075258	Solstice Logistics GmbH	0001
0000100253	DE	23202690	655633468576	Solstice Logistics GmbH	""
0000100254	VN	19062017	748265182011	Orion Industries Inc	""
0000100255	IT	65131908	457326145583	Orion Electronics Co	""
0000100255	KR	15553591	296400112257	Orion Electronics Co	""
0000100256	TH	53136570	539384040011	Solstice Materials Corp	""
0000100257	IT	91526253	962613732024	Windward Trading BV	0001
0000100258	FR	13241488	931886504382	Beacon Electronics Co	""
0000100259	HK	23978164	418108865285	Kestrel Industries Inc	""
0000100260	AE	20428842	890937143409	Orion Components Ltd	""
0000100261	TH	13615866	907056642807	Northgate Supplies SA	""
0000100262	KR	39815804	495227856721	Arcadia Industries Inc	0001
0000100263	GB	77831821	236842839707	Orion Components Ltd	""
0000100264	MY	19443622	899880205042	Vertex Manufacturing Sdn Bhd	""
0000100265	IT	29140673	419104899132	Sable Electronics Co	""
0000100265	JP	72664248	107539013873	Sable Electronics Co	""
0000100266	IN	28618156	949771202677	Granite Electronics Co	""
0000100266	HK	40355293	780322224410	Granite Electronics Co	""
0000100267	CH	80530418	952876835998	Tamarind Industries Inc	""
0000100267	IN	80010217	603031230410	Tamarind Industries Inc	""
0000100268	NL	37999856	185299313703	Tamarind Logistics GmbH	""
0000100269	US	71321475	160544038280	Blue Harbour Materials Corp	""
0000100270	IN	79661070	105238660643	Blue Harbour Logistics GmbH	""
0000100271	IN	79202478	363076033561	Tamarind Electronics Co	""
0000100272	VN	15130164	242672962544	Northgate Trading BV	""
0000100272	KY	45763416	439245622629	Northgate Trading BV	0002
0000100273	JP	43684230	251132110100	Meridian Materials Corp	0001
0000100274	JP	46286080	786663290124	Beacon Technologies Pte	""
0000100275	NL	42436339	251648642743	Cobalt Electronics Co	""
0000100276	US	17935008	520885257658	Vertex Electronics Co	""
0000100277	GB	68976722	968855997848	Beacon Technologies Pte	0001
0000100277	KR	20109338	326519037110	Beacon Technologies Pte	""
0000100278	JP	37737077	563335225350	Everest Electronics Co	""
0000100279	JP	42024014	979088961380	Kestrel Trading BV	""
0000100280	NL	78412991	692192528884	Tamarind Trading BV	""
0000100281	VN	71619168	148491421177	Arcadia Technologies Pte	""
0000100282	US	53269625	539635009524	Tamarind Manufacturing Sdn Bhd	""
0000100283	VN	70311638	286675199573	Cobalt Trading BV	""
0000100284	AE	92137874	619582086435	Ironwood Industries Inc	""
0000100285	HK	33103185	558984374921	Kestrel Materials Corp	""
0000100286	AE	49356892	957094581831	Silverline Technologies Pte	0001
0000100287	NL	15909310	253387783279	Tamarind Manufacturing Sdn Bhd	0001
0000100287	LU	95432117	139729617792	Tamarind Manufacturing Sdn Bhd	""
0000100288	VN	54491739	138190444155	Orion Supplies SA	""
0000100289	JP	24650473	235800320876	Cobalt Technologies Pte	""
0000100289	KR	65108201	894385838056	Cobalt Technologies Pte	""
0000100290	NL	33160479	717282258757	Cobalt Services SARL	""
0000100291	NL	91509074	273511360750	Granite Trading BV	0001
0000100292	TH	73574760	401282966477	Halcyon Electronics Co	0001
0000100293	US	24958539	234464630787	Everest Logistics GmbH	0001
0000100294	PA	95436424	156106376591	Sable Logistics GmbH	""
0000100295	FR	96512594	657563275914	Granite Supplies SA	""
0000100296	NL	96415670	858456282812	Halcyon Supplies SA	0001
0000100296	IN	68427178	633569597031	Halcyon Supplies SA	""
0000100297	KY	33567230	844226660019	Silverline Supplies SA	0001
0000100297	CN	56890672	131185150983	Silverline Supplies SA	""
0000100298	US	77219332	446839496776	Beacon Trading BV	0001
0000100298	KY	39966959	238652000993	Beacon Trading BV	0002
0000100299	GB	88150517	441857751057	Pacific Materials Corp	""
0000100300	NL	98347916	668953279894	Halcyon Industries Inc	""
0000100301	GB	70729665	275083513411	Blue Harbour Services SARL	""
0000100302	HK	53801765	533828007060	Arcadia Trading BV	0001
0000100303	PA	27599098	912379701725	Ironwood Industries Inc	0001
0000100304	VN	99146898	427993890804	Granite Services SARL	0001
0000100304	FR	15137084	672874340974	Granite Services SARL	""
0000100305	IT	12051796	742386263882	Blue Harbour Technologies Pte	""
0000100306	NL	51565594	681703658804	Cobalt Industries Inc	""
0000100307	IN	25113353	136147424960	Halcyon Materials Corp	0001
0000100308	US	73661838	983085797878	Vertex Supplies SA	""
0000100309	VN	25627719	745556682696	Northgate Materials Corp	""
0000100310	IN	22937086	793869136536	Halcyon Services SARL	""
0000100311	TH	22878470	820098629079	Beacon Industries Inc	0001
0000100312	VN	39715915	754876006666	Pacific Materials Corp	0001
0000100312	AE	35569099	324309825068	Pacific Materials Corp	0002
0000100313	CN	42041321	593401781909	Beacon Trading BV	0001
0000100314	GB	25822003	532319573288	Arcadia Materials Corp	0001
0000100315	CH	98975556	744127334421	Lumen Components Ltd	""
0000100316	JP	30774111	136341782356	Beacon Supplies SA	0001
0000100317	JP	81689555	199021881938	Arcadia Materials Corp	""
0000100317	DE	11566295	677312121034	Arcadia Materials Corp	""
0000100318	IT	94825516	761074691769	Silverline Technologies Pte	""
0000100319	PA	83262224	652995015948	Pacific Services SARL	0001
0000100320	MY	63389493	930179367136	Granite Technologies Pte	""
0000100321	IN	99544129	532997598315	Silverline Services SARL	""
0000100322	KR	68618628	782193847539	Everest Industries Inc	""
0000100323	TH	29436787	222941747832	Lumen Industries Inc	""
0000100323	VN	32327555	219050461420	Lumen Industries Inc	""
0000100324	AE	24583406	203696781535	Orion Logistics GmbH	""
0000100325	GB	43050767	180042767980	Everest Trading BV	""
0000100325	FR	81176787	923134176186	Everest Trading BV	""
0000100326	GB	16680881	935728387082	Pacific Trading BV	""
0000100326	DE	61601145	946205479285	Pacific Trading BV	""
0000100327	NL	77681137	306544346616	Meridian Materials Corp	""
0000100328	CN	65976351	509251706353	Arcadia Logistics GmbH	""
0000100329	MY	71833108	380271522592	Vertex Supplies SA	""
0000100330	JP	64460578	947833446332	Granite Materials Corp	""
0000100330	HK	23692289	889367180152	Granite Materials Corp	""
0000100331	DE	47958484	674500400586	Orion Supplies SA	""
0000100332	GB	46643287	217841095592	Blue Harbour Technologies Pte	""
0000100332	CH	62198126	820662625445	Blue Harbour Technologies Pte	""
0000100333	GB	84612816	256767708817	Vertex Trading BV	0001
0000100333	TH	71091552	999062455182	Vertex Trading BV	""
0000100334	FR	83833996	556793709673	Meridian Electronics Co	""
0000100334	PA	45071400	224147594166	Meridian Electronics Co	0002
0000100335	IN	34281334	851924928235	Beacon Trading BV	""
0000100336	HK	76028384	974791819999	Meridian Components Ltd	0001
0000100337	HK	93881516	290847695012	Orion Materials Corp	""
0000100338	MY	27652586	141321485936	Windward Services SARL	""
0000100339	CN	36910570	450632281884	Pacific Electronics Co	""
0000100340	US	65538013	479337662525	Silverline Electronics Co	""
0000100341	DE	27771717	999407552246	Granite Electronics Co	""
0000100342	NL	23711081	104669333950	Ironwood Technologies Pte	""
0000100343	US	73864066	850474085875	Sable Materials Corp	""
0000100344	JP	62808966	449859225285	Blue Harbour Electronics Co	""
0000100345	KY	63830303	993744683034	Kestrel Technologies Pte	""
0000100346	NL	54128988	365071954332	Cobalt Supplies SA	0001
0000100347	TH	66208367	572802697861	Windward Technologies Pte	""
0000100348	SG	93197481	537636835239	Blue Harbour Components Ltd	""
0000100348	CN	83210861	135858281183	Blue Harbour Components Ltd	""
0000100349	JP	25994879	315014122524	Kestrel Trading BV	""
0000100350	FR	13725567	976118846944	Ironwood Electronics Co	""
0000100351	PA	39831589	392275142261	Kestrel Industries Inc	0001
0000100352	CN	74765515	163885581999	Granite Trading BV	""
0000100353	GB	15609104	261145161281	Sable Technologies Pte	""
0000100354	VN	23930695	763569191378	Sable Electronics Co	""
0000100354	SG	96493317	596046161849	Sable Electronics Co	""
0000100355	PA	99078482	418541736894	Kestrel Materials Corp	0001
0000100356	IN	13345922	953509390205	Halcyon Technologies Pte	""
0000100357	US	13674040	320020363593	Vertex Trading BV	""
0000100358	NL	50180904	908952964261	Lumen Supplies SA	""
0000100358	US	22233147	101117398825	Lumen Supplies SA	""
0000100359	US	26542796	548230455914	Granite Services SARL	""
0000100360	PA	25268331	781644789982	Granite Logistics GmbH	""
0000100361	VN	74381460	495260447358	Beacon Materials Corp	0001
0000100362	IT	60940305	423490848971	Kestrel Technologies Pte	0001
0000100363	GB	22287476	733627087980	Kestrel Electronics Co	""
0000100364	CN	31151005	365381525980	Beacon Manufacturing Sdn Bhd	""
0000100365	GB	96858721	174431190366	Orion Supplies SA	""
0000100366	KR	42377340	556733998127	Cobalt Technologies Pte	""
0000100367	NL	49831921	574512372677	Tamarind Services SARL	""
0000100368	NL	39157214	741662803551	Beacon Services SARL	""
0000100369	NL	41449365	264997960478	Sable Supplies SA	0001
