BUKRS	LIFNR	BELNR	GJAHR	BUDAT	WRBTR	WAERS	SHKZG	BLART	BVTYP	AUGDT	AUGBL
5000	0000100040	5100000146	2026	2026-04-01	387834.02	GBP	H	KR	""	2026-04-06	2000000084
2000	0000100042	5100000150	2026	2026-02-12	143259.43	JPY	H	KZ	""	2026-04-26	2000000085
2000	0000100043	5100000151	2026	2026-01-23	427421.16	JPY	H	RE	""	2026-03-10	2000000086
2000	0000100043	5100000152	2026	2026-03-24	60326.24	JPY	H	KZ	""	2026-04-08	2000000087
2000	0000100043	5100000153	2026	2026-05-20	418872.71	EUR	H	KZ	""	2026-07-04	2000000088
2000	0000100043	5100000154	2026	2026-07-23	474133.42	EUR	H	KZ	""	2026-07-29	2000000089
2000	0000100043	5100000156	2026	2026-07-22	167627.09	JPY	H	KG	""	2026-09-07	2000000090
3000	0000100044	5100000161	2026	2026-05-04	145039.86	GBP	H	RE	""	2026-05-31	2000000091
3000	0000100046	5100000164	2026	2026-04-22	23803.88	GBP	H	KR	""	2026-07-06	2000000092
3000	0000100046	5100000166	2026	2026-04-04	256520.23	GBP	H	KZ	""	2026-05-01	2000000093
3000	0000100046	5100000167	2026	2026-02-20	159390.29	USD	H	KZ	""	2026-03-14	2000000094
3000	0000100047	5100000169	2026	2026-02-24	251537.62	GBP	H	KG	0001	2026-05-04	2000000095
2000	0000100048	5100000170	2026	2026-01-04	393655.5	EUR	H	KZ	""	2026-02-15	2000000096
3000	0000100049	5100000172	2026	2026-01-25	310585.77	JPY	H	RE	0001	2026-02-15	2000000097
4000	0000100050	5100000174	2026	2026-06-28	39868.33	JPY	H	KZ	0001	2026-09-01	2000000098
4000	0000100050	5100000175	2026	2026-04-26	89796.01	JPY	H	KR	0001	2026-06-14	2000000099
3000	0000100051	5100000176	2026	2026-02-17	301692.67	USD	H	KR	""	2026-03-05	2000000100
2000	0000100052	5100000177	2026	2026-03-26	26255.15	USD	H	KR	""	2026-05-21	2000000101
1000	0000100053	5100000178	2026	2026-04-08	69600.15	EUR	H	KR	0001	2026-04-27	2000000102
1000	0000100053	5100000180	2026	2026-02-22	435136.34	EUR	H	KZ	0001	2026-03-04	2000000103
1000	0000100053	5100000181	2026	2026-02-17	177294.72	JPY	H	RE	0001	2026-03-20	2000000104
3000	0000100054	5100000184	2026	2026-08-07	393042.62	JPY	H	KZ	0001	2026-08-23	2000000105
3000	0000100054	5100000186	2026	2026-06-15	78846.13	EUR	H	RE	0001	2026-06-28	2000000106
1000	0000100055	5100000187	2026	2026-04-13	194486.84	JPY	H	KG	""	2026-04-25	2000000107
3000	0000100056	5100000188	2026	2026-07-24	449041.48	JPY	H	KG	0001	2026-10-05	2000000108
3000	0000100056	5100000189	2026	2026-01-04	477864.73	USD	H	KG	0001	2026-01-13	2000000109
1000	0000100058	5100000193	2026	2026-04-10	109752.03	EUR	H	KZ	""	2026-06-09	2000000110
1000	0000100058	5100000194	2026	2026-01-27	216027.23	EUR	H	RE	""	2026-03-15	2000000111
1000	0000100058	5100000195	2026	2026-05-14	24089.61	EUR	H	KR	""	2026-06-09	2000000112
1000	0000100058	5100000196	2026	2026-01-24	78582.97	GBP	H	RE	""	2026-03-18	2000000113
1000	0000100058	5100000198	2026	2026-04-13	398489.08	GBP	H	KZ	""	2026-05-04	2000000114
1000	0000100059	5100000199	2026	2026-01-27	254931.13	GBP	H	RE	""	2026-03-26	2000000115
1000	0000100059	5100000200	2026	2026-08-08	377965.12	GBP	H	KG	""	2026-09-13	2000000116
4000	0000100060	5100000204	2026	2026-01-25	101589.04	JPY	H	KR	0001	2026-02-28	2000000117
4000	0000100060	5100000205	2026	2026-07-04	112802.81	JPY	H	RE	0001	2026-08-04	2000000118
4000	0000100060	5100000206	2026	2026-03-10	10689.19	JPY	H	KZ	0001	2026-03-28	2000000119
4000	0000100060	5100000207	2026	2026-06-11	88800.46	JPY	H	KZ	0001	2026-06-25	2000000120
4000	0000100060	5100000209	2026	2026-04-29	93277.7	GBP	H	KR	0001	2026-05-05	2000000121
3000	0000100061	5100000211	2026	2026-02-26	392510.3	USD	H	KZ	""	2026-03-18	2000000122
3000	0000100061	5100000212	2026	2026-05-08	35061.94	JPY	H	KZ	""	2026-05-16	2000000123
2000	0000100062	5100000214	2026	2026-01-17	82124.38	EUR	H	KG	""	2026-02-15	2000000124
3000	0000100064	5100000216	2026	2026-04-18	222521.35	GBP	H	KR	0001	2026-06-18	2000000125
1000	0000100065	5100000217	2026	2026-02-07	437755.93	EUR	H	KZ	0001	2026-02-23	2000000126
4000	0000100066	5100000218	2026	2026-06-17	437042.8	EUR	H	RE	""	2026-08-27	2000000127
4000	0000100066	5100000219	2026	2026-05-08	198011.08	GBP	H	KZ	""	2026-06-30	2000000128
1000	0000100067	5100000221	2026	2026-04-26	181601.07	EUR	H	KR	0001	2026-06-30	2000000129
1000	0000100067	5100000223	2026	2026-03-16	313831.61	GBP	H	KR	0002	2026-05-05	2000000130
1000	0000100067	5100000224	2026	2026-06-28	231069.87	EUR	H	KR	0001	2026-07-21	2000000131
2000	0000100068	5100000226	2026	2026-02-26	284918.57	EUR	H	RE	0001	2026-04-25	2000000132
3000	0000100069	5100000227	2026	2026-06-13	29200.73	USD	H	KZ	0001	2026-08-26	2000000133
3000	0000100070	5100000228	2026	2026-01-09	162029.27	EUR	H	KR	""	2026-02-19	2000000134
4000	0000100071	5100000231	2026	2026-04-21	267383.74	EUR	H	KG	""	2026-05-24	2000000135
4000	0000100072	5100000234	2026	2026-08-01	286701.67	EUR	H	KZ	""	2026-10-13	2000000136
4000	0000100072	5100000235	2026	2026-04-30	127384.49	EUR	H	KG	""	2026-06-12	2000000137
2000	0000100073	5100000237	2026	2026-02-22	139419.5	EUR	H	KZ	""	2026-04-12	2000000138
2000	0000100073	5100000238	2026	2026-07-26	473675.62	JPY	H	KZ	""	2026-08-20	2000000139
3000	0000100074	5100000241	2026	2026-06-14	418284.01	JPY	H	RE	""	2026-07-10	2000000140
3000	0000100074	5100000243	2026	2026-07-19	313776.16	GBP	H	KG	""	2026-08-14	2000000141
2000	0000100075	5100000246	2026	2026-02-13	467853.15	EUR	H	KG	0002	2026-04-23	2000000142
2000	0000100075	5100000249	2026	2026-07-27	16242.76	USD	H	RE	0002	2026-09-11	2000000143
3000	0000100076	5100000250	2026	2026-07-15	236559.37	JPY	H	KR	""	2026-07-21	2000000144
3000	0000100076	5100000251	2026	2026-04-12	152662.03	USD	H	KZ	""	2026-06-23	2000000145
3000	0000100076	5100000252	2026	2026-07-01	335720.25	GBP	H	KR	""	2026-08-21	2000000146
3000	0000100076	5100000253	2026	2026-04-23	445068.21	EUR	H	KR	""	2026-05-07	2000000147
3000	0000100077	5100000254	2026	2026-03-11	458153.58	USD	H	KZ	""	2026-03-29	2000000148
3000	0000100077	5100000256	2026	2026-01-22	14417.4	USD	H	KZ	""	2026-02-09	2000000149
3000	0000100077	5100000257	2026	2026-02-25	117936.73	EUR	H	RE	""	2026-03-04	2000000150
4000	0000100078	5100000258	2026	2026-06-19	241194.1	USD	H	KG	0001	2026-07-14	2000000151
1000	0000100079	5100000261	2026	2026-02-27	156865.99	JPY	H	KZ	0001	2026-04-23	2000000152
3000	0000100080	5100000264	2026	2026-08-10	418353.85	GBP	H	RE	""	2026-10-12	2000000153
2000	0000100081	5100000268	2026	2026-07-06	123574.14	EUR	H	KR	""	2026-08-20	2000000154
1000	0000100082	5100000269	2026	2026-04-19	87382.76	JPY	H	RE	0001	2026-06-10	2000000155
4000	0000100083	5100000271	2026	2026-04-11	227327.08	EUR	H	KR	""	2026-04-17	2000000156
4000	0000100083	5100000272	2026	2026-03-31	9843.61	GBP	H	RE	""	2026-04-09	2000000157
4000	0000100083	5100000273	2026	2026-01-20	162075.81	USD	H	RE	""	2026-03-16	2000000158
4000	0000100083	5100000274	2026	2026-05-17	140929.72	USD	H	RE	""	2026-05-28	2000000159
4000	0000100083	5100000276	2026	2026-08-03	21251.14	GBP	H	RE	""	2026-08-26	2000000160
4000	0000100084	5100000277	2026	2026-02-15	91141.23	EUR	H	KR	0002	2026-03-07	2000000161
4000	0000100084	5100000279	2026	2026-07-21	245046.29	GBP	H	KZ	0002	2026-08-06	2000000162
4000	0000100084	5100000280	2026	2026-01-24	440036.67	USD	H	KZ	0002	2026-02-16	2000000163
4000	0000100084	5100000281	2026	2026-03-25	231156.58	EUR	H	RE	0002	2026-05-08	2000000164
3000	0000100085	5100000283	2026	2026-04-02	417912.48	EUR	H	KG	""	2026-06-04	2000000165
4000	0000100087	5100000288	2026	2026-04-12	38402.27	USD	H	RE	""	2026-05-07	2000000166
4000	0000100087	5100000289	2026	2026-06-04	92323.04	USD	H	KZ	""	2026-07-22	2000000167
4000	0000100087	5100000290	2026	2026-07-30	418260.12	EUR	H	KR	""	2026-09-06	2000000168
3000	0000100088	5100000293	2026	2026-05-13	242835.42	EUR	H	KR	""	2026-05-26	2000000169
1000	0000100089	5100000295	2026	2026-07-08	344224.97	JPY	H	KG	""	2026-08-12	2000000170
5000	0000100090	5100000296	2026	2026-01-07	381312.81	JPY	H	KG	0001	2026-02-24	2000000171
5000	0000100090	5100000298	2026	2026-07-12	284023.88	GBP	H	KZ	0001	2026-08-20	2000000172
5000	0000100090	5100000300	2026	2026-02-26	477954.23	GBP	H	KG	0001	2026-03-23	2000000173
2000	0000100091	5100000301	2026	2026-07-19	303783.57	JPY	H	KZ	0001	2026-08-18	2000000174
2000	0000100091	5100000302	2026	2026-02-04	362608.09	GBP	H	KR	0001	2026-03-10	2000000175
2000	0000100091	5100000303	2026	2026-03-02	408355.19	JPY	H	KG	0001	2026-03-28	2000000176
2000	0000100091	5100000304	2026	2026-07-22	81058.11	USD	H	KR	0002	2026-08-30	2000000177
2000	0000100091	5100000305	2026	2026-07-06	327664.9	USD	H	RE	0001	2026-07-16	2000000178
4000	0000100092	5100000307	2026	2026-04-23	66632.28	JPY	H	RE	0001	2026-06-14	2000000179
4000	0000100092	5100000308	2026	2026-05-31	444588.73	GBP	H	KR	0001	2026-06-20	2000000180
4000	0000100092	5100000309	2026	2026-05-16	331513.26	GBP	H	RE	0001	2026-05-26	2000000181
4000	0000100092	5100000310	2026	2026-05-03	268162.16	GBP	H	KZ	0001	2026-07-12	2000000182
5000	0000100093	5100000311	2026	2026-06-25	79998.28	JPY	H	RE	""	2026-08-03	2000000183
5000	0000100093	5100000312	2026	2026-07-07	48643.06	GBP	H	KG	""	2026-09-02	2000000184
5000	0000100093	5100000313	2026	2026-05-13	25130.44	USD	H	RE	""	2026-06-08	2000000185
5000	0000100093	5100000314	2026	2026-05-11	351217.66	JPY	H	KG	""	2026-05-25	2000000186
4000	0000100094	5100000315	2026	2026-02-20	453638.21	USD	H	KR	0001	2026-04-07	2000000187
4000	0000100094	5100000317	2026	2026-06-14	225594.02	USD	H	KZ	0001	2026-08-01	2000000188
1000	0000100095	5100000318	2026	2026-08-10	136302.07	GBP	H	KZ	""	2026-10-22	2000000189
1000	0000100095	5100000320	2026	2026-02-27	458961.52	JPY	H	KG	""	2026-04-26	2000000190
1000	0000100095	5100000321	2026	2026-08-01	165094.67	USD	H	KR	""	2026-10-05	2000000191
1000	0000100096	5100000322	2026	2026-04-16	275482.34	GBP	H	KR	0002	2026-05-09	2000000192
1000	0000100096	5100000323	2026	2026-08-02	280712.95	EUR	H	KR	""	2026-09-04	2000000193
1000	0000100096	5100000324	2026	2026-07-26	135474.78	USD	H	KG	0002	2026-09-16	2000000194
1000	0000100097	5100000325	2026	2026-01-31	13627.84	USD	H	KG	""	2026-03-05	2000000195
3000	0000100098	5100000326	2026	2026-02-18	382795.31	JPY	H	RE	""	2026-03-20	2000000196
3000	0000100098	5100000327	2026	2026-02-19	246367.54	JPY	H	KR	""	2026-03-03	2000000197
3000	0000100098	5100000329	2026	2026-01-23	363086.39	JPY	H	KZ	""	2026-03-17	2000000198
3000	0000100099	5100000330	2026	2026-03-25	314775.16	JPY	H	KG	""	2026-04-24	2000000199
3000	0000100099	5100000331	2026	2026-06-16	149152.53	GBP	H	RE	""	2026-08-27	2000000200
3000	0000100100	5100000332	2026	2026-02-20	44378.21	EUR	H	KZ	""	2026-04-18	2000000201
3000	0000100100	5100000335	2026	2026-03-18	99624.57	USD	H	KR	""	2026-05-07	2000000202
2000	0000100102	5100000339	2026	2026-05-01	429967.88	JPY	H	RE	""	2026-06-02	2000000203
4000	0000100103	5100000340	2026	2026-02-19	317506.43	EUR	H	KR	""	2026-04-13	2000000204
4000	0000100103	5100000341	2026	2026-02-16	156119.16	GBP	H	KG	""	2026-03-12	2000000205
4000	0000100103	5100000342	2026	2026-06-12	127444.54	EUR	H	KZ	""	2026-07-14	2000000206
4000	0000100103	5100000343	2026	2026-02-02	28225.93	JPY	H	KG	""	2026-03-02	2000000207
1000	0000100104	5100000345	2026	2026-01-16	306432.98	EUR	H	RE	""	2026-02-09	2000000208
1000	0000100104	5100000346	2026	2026-05-10	461742.86	GBP	H	KR	""	2026-06-03	2000000209
1000	0000100104	5100000347	2026	2026-01-23	44431.41	USD	H	KG	""	2026-04-07	2000000210
4000	0000100105	5100000348	2026	2026-01-21	422276.82	EUR	H	KZ	""	2026-02-20	2000000211
4000	0000100105	5100000349	2026	2026-07-27	186227.47	JPY	H	KG	""	2026-09-04	2000000212
4000	0000100105	5100000352	2026	2026-08-12	478772.6	EUR	H	KZ	""	2026-09-27	2000000213
1000	0000100106	5100000354	2026	2026-02-13	20149.4	EUR	H	RE	""	2026-04-18	2000000214
1000	0000100106	5100000356	2026	2026-05-08	297887.0	EUR	H	RE	""	2026-06-02	2000000215
1000	0000100106	5100000357	2026	2026-02-25	52665.83	USD	H	KR	""	2026-03-20	2000000216
1000	0000100106	5100000358	2026	2026-08-08	91408.54	GBP	H	KR	""	2026-08-30	2000000217
5000	0000100107	5100000360	2026	2026-03-27	124745.26	USD	H	RE	""	2026-05-06	2000000218
5000	0000100107	5100000361	2026	2026-01-20	254263.01	JPY	H	KG	""	2026-02-17	2000000219
5000	0000100107	5100000362	2026	2026-04-13	385137.49	USD	H	RE	""	2026-05-23	2000000220
2000	0000100108	5100000363	2026	2026-01-29	36368.04	USD	H	KZ	""	2026-02-09	2000000221
5000	0000100109	5100000364	2026	2026-04-07	476706.28	JPY	H	RE	""	2026-05-13	2000000222
3000	0000100110	5100000365	2026	2026-03-24	470209.53	GBP	H	KR	0001	2026-05-03	2000000223
3000	0000100110	5100000366	2026	2026-02-12	183202.1	JPY	H	KZ	0001	2026-03-25	2000000224
5000	0000100111	5100000369	2026	2026-05-03	47066.58	GBP	H	KG	0002	2026-07-16	2000000225
3000	0000100112	5100000370	2026	2026-07-21	185817.7	USD	H	KG	""	2026-08-31	2000000226
3000	0000100112	5100000373	2026	2026-02-10	438235.52	USD	H	KG	""	2026-04-13	2000000227
3000	0000100112	5100000374	2026	2026-02-02	72409.86	GBP	H	KR	""	2026-03-12	2000000228
1000	0000100113	5100000375	2026	2026-05-13	118749.26	JPY	H	KZ	0002	2026-05-26	2000000229
4000	0000100114	5100000376	2026	2026-01-24	298325.72	JPY	H	KG	""	2026-03-26	2000000230
3000	0000100115	5100000377	2026	2026-02-19	434722.82	GBP	H	KR	""	2026-03-03	2000000231
3000	0000100115	5100000378	2026	2026-01-10	133833.58	EUR	H	KR	""	2026-02-05	2000000232
3000	0000100115	5100000379	2026	2026-02-19	126034.33	JPY	H	RE	""	2026-03-13	2000000233
3000	0000100115	5100000381	2026	2026-05-01	369987.89	GBP	H	KR	""	2026-06-18	2000000234
3000	0000100115	5100000382	2026	2026-05-20	420092.9	GBP	H	RE	""	2026-06-07	2000000235
4000	0000100116	5100000384	2026	2026-07-17	59082.64	EUR	H	RE	""	2026-09-02	2000000236
4000	0000100116	5100000385	2026	2026-06-20	297677.21	JPY	H	KG	""	2026-08-31	2000000237
2000	0000100117	5100000387	2026	2026-05-01	183533.63	EUR	H	KG	""	2026-05-11	2000000238
2000	0000100117	5100000388	2026	2026-04-19	69927.52	USD	H	RE	""	2026-06-21	2000000239
2000	0000100117	5100000389	2026	2026-05-12	405637.7	EUR	H	RE	""	2026-05-18	2000000240
5000	0000100119	5100000392	2026	2026-07-07	202227.76	JPY	H	KR	""	2026-08-23	2000000241
5000	0000100119	5100000393	2026	2026-08-06	163259.76	JPY	H	RE	""	2026-09-26	2000000242
5000	0000100119	5100000394	2026	2026-01-05	324694.04	JPY	H	RE	""	2026-01-30	2000000243
5000	0000100119	5100000395	2026	2026-07-18	136789.3	JPY	H	KZ	""	2026-08-29	2000000244
5000	0000100119	5100000396	2026	2026-01-25	261471.17	EUR	H	RE	""	2026-02-04	2000000245
2000	0000100120	5100000398	2026	2026-07-10	223879.85	GBP	H	KZ	""	2026-08-12	2000000246
2000	0000100120	5100000399	2026	2026-03-06	120359.69	JPY	H	KG	""	2026-04-20	2000000247
2000	0000100120	5100000400	2026	2026-05-10	356928.41	USD	H	KG	""	2026-05-23	2000000248
1000	0000100121	5100000402	2026	2026-03-17	398208.31	USD	H	RE	0001	2026-05-22	2000000249
1000	0000100122	5100000404	2026	2026-03-07	230979.66	GBP	H	KG	0001	2026-04-29	2000000250
4000	0000100123	5100000405	2026	2026-01-09	247428.83	JPY	H	RE	""	2026-03-07	2000000251
5000	0000100125	5100000407	2026	2026-07-25	377569.15	JPY	H	KG	""	2026-09-13	2000000252
5000	0000100125	5100000410	2026	2026-04-26	392299.0	USD	H	KZ	""	2026-07-04	2000000253
4000	0000100126	5100000411	2026	2026-03-14	93007.15	EUR	H	KR	""	2026-04-17	2000000254
4000	0000100126	5100000412	2026	2026-01-05	411355.76	USD	H	KZ	""	2026-03-21	2000000255
4000	0000100126	5100000413	2026	2026-04-07	128420.18	EUR	H	KR	""	2026-05-15	2000000256
2000	0000100127	5100000415	2026	2026-01-28	245973.54	JPY	H	KR	""	2026-03-20	2000000257
2000	0000100127	5100000416	2026	2026-07-11	164320.24	GBP	H	RE	""	2026-08-09	2000000258
2000	0000100127	5100000417	2026	2026-07-14	476800.82	EUR	H	KG	""	2026-09-01	2000000259
2000	0000100127	5100000418	2026	2026-03-07	214220.16	USD	H	KG	""	2026-04-08	2000000260
4000	0000100128	5100000419	2026	2026-06-13	228112.81	JPY	H	KG	""	2026-07-23	2000000261
3000	0000100129	5100000425	2026	2026-03-26	237848.83	JPY	H	KZ	""	2026-05-15	2000000262
1000	0000100131	5100000427	2026	2026-04-26	232320.88	EUR	H	KZ	""	2026-05-26	2000000263
1000	0000100131	5100000428	2026	2026-08-02	384703.39	GBP	H	KR	""	2026-08-07	2000000264
1000	0000100131	5100000429	2026	2026-02-23	412095.58	EUR	H	KZ	""	2026-04-30	2000000265
1000	0000100133	5100000433	2026	2026-05-08	99128.23	GBP	H	RE	""	2026-05-31	2000000266
1000	0000100133	5100000435	2026	2026-06-21	25332.78	JPY	H	RE	""	2026-08-24	2000000267
1000	0000100134	5100000436	2026	2026-04-17	98475.16	USD	H	KZ	0001	2026-06-19	2000000268
5000	0000100135	5100000437	2026	2026-03-15	347908.22	EUR	H	KG	""	2026-05-02	2000000269
