BUKRS	LIFNR	BELNR	GJAHR	BUDAT	WRBTR	WAERS	SHKZG	BLART	BVTYP
3000	0000100046	5100000165	2026	2026-08-15	34706.32	GBP	H	KG	""
3000	0000100047	5100000168	2026	2026-03-25	255959.45	JPY	H	KZ	0001
2000	0000100048	5100000171	2026	2026-08-08	223401.63	GBP	H	KZ	""
3000	0000100049	5100000173	2026	2026-06-14	252977.43	JPY	H	KZ	0001
1000	0000100053	5100000179	2026	2026-01-08	465193.41	GBP	H	KR	0001
1000	0000100053	5100000182	2026	2026-02-07	126486.53	GBP	H	KG	0001
1000	0000100053	5100000183	2026	2026-06-15	24422.82	JPY	H	KZ	0001
3000	0000100054	5100000185	2026	2026-03-02	373171.23	JPY	H	KR	0001
3000	0000100056	5100000190	2026	2026-01-25	273685.8	EUR	H	RE	0001
3000	0000100056	5100000191	2026	2026-07-15	339992.08	GBP	H	RE	0001
2000	0000100057	5100000192	2026	2026-01-15	147834.41	USD	H	KR	""
1000	0000100058	5100000197	2026	2026-01-19	315493.67	EUR	H	KG	""
1000	0000100059	5100000201	2026	2026-03-07	41555.8	GBP	H	KR	""
1000	0000100059	5100000202	2026	2026-03-12	267262.84	USD	H	KZ	""
1000	0000100059	5100000203	2026	2026-05-11	460281.71	GBP	H	KZ	""
4000	0000100060	5100000208	2026	2026-06-29	159906.7	USD	H	KR	0001
3000	0000100061	5100000210	2026	2026-06-02	56659.23	JPY	H	KR	""
3000	0000100061	5100000213	2026	2026-08-05	248768.93	USD	H	KR	""
3000	0000100063	5100000215	2026	2026-05-03	318294.42	GBP	H	KR	""
1000	0000100067	5100000220	2026	2026-02-26	379741.36	EUR	H	KZ	0002
1000	0000100067	5100000222	2026	2026-07-07	291064.57	JPY	H	RE	0001
2000	0000100068	5100000225	2026	2026-01-10	191591.84	JPY	H	KZ	0001
3000	0000100070	5100000229	2026	2026-08-18	183013.0	USD	H	KG	""
3000	0000100070	5100000230	2026	2026-02-18	459546.11	USD	H	KR	""
4000	0000100071	5100000232	2026	2026-06-27	221105.25	GBP	H	KG	""
4000	0000100072	5100000233	2026	2026-02-28	22668.98	EUR	H	RE	""
2000	0000100073	5100000236	2026	2026-02-13	120365.65	USD	H	KR	""
2000	0000100073	5100000239	2026	2026-04-25	436438.47	EUR	H	KG	""
2000	0000100073	5100000240	2026	2026-07-16	162694.6	GBP	H	KZ	""
3000	0000100074	5100000242	2026	2026-08-11	371596.78	USD	H	KZ	""
2000	0000100075	5100000244	2026	2026-02-22	99124.72	JPY	H	KG	0002
2000	0000100075	5100000245	2026	2026-06-16	313095.65	GBP	H	KZ	""
2000	0000100075	5100000247	2026	2026-06-18	242699.56	GBP	H	KG	0002
2000	0000100075	5100000248	2026	2026-03-11	252207.69	EUR	H	RE	""
3000	0000100077	5100000255	2026	2026-04-14	54619.94	EUR	H	KG	""
1000	0000100079	5100000259	2026	2026-07-06	162746.34	EUR	H	KG	0001
1000	0000100079	5100000260	2026	2026-02-10	276994.71	EUR	H	KG	0001
3000	0000100080	5100000262	2026	2026-04-15	371195.58	USD	H	RE	""
3000	0000100080	5100000263	2026	2026-04-16	346728.86	JPY	H	KR	""
3000	0000100080	5100000265	2026	2026-02-23	5932.2	EUR	H	KG	""
2000	0000100081	5100000266	2026	2026-06-12	105188.61	JPY	H	RE	""
2000	0000100081	5100000267	2026	2026-03-09	455659.17	GBP	H	KR	""
1000	0000100082	5100000270	2026	2026-01-31	222455.38	JPY	H	RE	0001
4000	0000100083	5100000275	2026	2026-07-14	54960.57	EUR	H	RE	""
4000	0000100084	5100000278	2026	2026-07-20	29063.07	USD	H	KR	""
3000	0000100085	5100000282	2026	2026-02-06	423776.34	USD	H	KG	""
1000	0000100086	5100000284	2026	2026-05-04	395606.09	GBP	H	RE	""
1000	0000100086	5100000285	2026	2026-03-13	158499.71	USD	H	KG	""
4000	0000100087	5100000286	2026	2026-07-30	239241.96	USD	H	KZ	""
4000	0000100087	5100000287	2026	2026-06-21	221188.23	GBP	H	RE	""
4000	0000100087	5100000291	2026	2026-05-25	318429.95	USD	H	KZ	""
3000	0000100088	5100000292	2026	2026-01-05	31119.7	USD	H	RE	""
3000	0000100088	5100000294	2026	2026-07-23	345824.88	EUR	H	KR	""
5000	0000100090	5100000297	2026	2026-04-05	105504.85	USD	H	KZ	0001
5000	0000100090	5100000299	2026	2026-08-19	260448.49	JPY	H	KG	0001
2000	0000100091	5100000306	2026	2026-06-10	262296.28	JPY	H	KR	0001
4000	0000100094	5100000316	2026	2026-07-29	71529.03	JPY	H	RE	0002
1000	0000100095	5100000319	2026	2026-02-01	439454.52	JPY	H	RE	""
3000	0000100098	5100000328	2026	2026-02-04	252182.49	GBP	H	KG	""
3000	0000100100	5100000333	2026	2026-06-17	236013.03	JPY	H	KR	""
3000	0000100100	5100000334	2026	2026-04-01	73536.12	USD	H	KR	""
3000	0000100100	5100000336	2026	2026-04-10	227255.18	USD	H	RE	""
1000	0000100101	5100000337	2026	2026-08-07	291991.04	JPY	H	KG	""
2000	0000100102	5100000338	2026	2026-04-16	408958.81	GBP	H	KR	""
1000	0000100104	5100000344	2026	2026-04-08	394003.65	USD	H	KZ	""
4000	0000100105	5100000350	2026	2026-02-16	120791.47	GBP	H	RE	""
4000	0000100105	5100000351	2026	2026-08-18	14805.98	JPY	H	RE	""
1000	0000100106	5100000353	2026	2026-02-01	169734.68	EUR	H	RE	""
1000	0000100106	5100000355	2026	2026-06-19	409837.29	GBP	H	KR	""
5000	0000100107	5100000359	2026	2026-05-06	363690.29	JPY	H	KZ	""
3000	0000100110	5100000367	2026	2026-01-17	105362.16	GBP	H	KG	0001
5000	0000100111	5100000368	2026	2026-07-18	31636.39	USD	H	KR	""
3000	0000100112	5100000371	2026	2026-02-03	155657.65	JPY	H	KZ	""
3000	0000100112	5100000372	2026	2026-04-11	219232.21	EUR	H	KG	""
3000	0000100115	5100000380	2026	2026-08-18	298584.57	JPY	H	KZ	""
4000	0000100116	5100000383	2026	2026-05-21	399900.49	JPY	H	KR	""
2000	0000100117	5100000386	2026	2026-03-07	93647.24	USD	H	RE	""
3000	0000100118	5100000390	2026	2026-01-06	459881.04	GBP	H	KZ	""
3000	0000100118	5100000391	2026	2026-02-01	126167.99	EUR	H	KZ	""
5000	0000100119	5100000397	2026	2026-04-11	392830.32	USD	H	RE	""
2000	0000100120	5100000401	2026	2026-03-07	73430.91	GBP	H	KZ	""
1000	0000100121	5100000403	2026	2026-08-19	429250.36	JPY	H	KZ	0001
5000	0000100124	5100000406	2026	2026-06-12	288332.57	GBP	H	KG	""
5000	0000100125	5100000408	2026	2026-06-13	54131.12	EUR	H	KZ	""
5000	0000100125	5100000409	2026	2026-01-23	216550.24	USD	H	KR	""
4000	0000100126	5100000414	2026	2026-03-15	253260.88	USD	H	RE	""
4000	0000100128	5100000420	2026	2026-03-14	230692.67	USD	H	KR	""
4000	0000100128	5100000421	2026	2026-03-27	98330.11	JPY	H	KZ	""
4000	0000100128	5100000422	2026	2026-07-25	314648.32	USD	H	RE	""
3000	0000100129	5100000423	2026	2026-03-29	443392.89	EUR	H	KG	0001
3000	0000100129	5100000424	2026	2026-02-03	37532.97	USD	H	KR	0001
5000	0000100130	5100000426	2026	2026-03-08	415104.82	JPY	H	KG	""
1000	0000100131	5100000430	2026	2026-07-13	41665.0	EUR	H	KR	""
1000	0000100131	5100000431	2026	2026-04-24	419668.88	GBP	H	KR	""
5000	0000100132	5100000432	2026	2026-02-01	320509.79	EUR	H	KG	0002
1000	0000100133	5100000434	2026	2026-01-30	270115.8	EUR	H	KR	""
5000	0000100135	5100000438	2026	2026-05-26	181097.23	GBP	H	KG	""
1000	0000100136	5100000441	2026	2026-04-15	399121.78	JPY	H	RE	""
3000	0000100138	5100000446	2026	2026-04-29	130377.08	EUR	H	KR	""
3000	0000100138	5100000447	2026	2026-08-15	40395.08	USD	H	KG	0001
3000	0000100139	5100000451	2026	2026-02-12	247029.22	USD	H	RE	""
3000	0000100139	5100000452	2026	2026-05-19	452834.65	JPY	H	KZ	""
4000	0000100141	5100000456	2026	2026-04-29	470130.14	EUR	H	KZ	""
4000	0000100141	5100000458	2026	2026-01-10	397637.42	GBP	H	RE	""
4000	0000100141	5100000459	2026	2026-07-03	413235.99	GBP	H	KZ	""
5000	0000100143	5100000466	2026	2026-07-17	416032.73	USD	H	KR	0001
1000	0000100144	5100000469	2026	2026-06-24	30826.46	EUR	H	RE	0001
1000	0000100145	5100000475	2026	2026-06-14	415797.59	JPY	H	KR	""
4000	0000100146	5100000478	2026	2026-01-17	456206.21	JPY	H	KZ	""
3000	0000100147	5100000484	2026	2026-01-25	8275.11	EUR	H	KG	0001
3000	0000100147	5100000487	2026	2026-08-12	401633.49	GBP	H	KR	0001
3000	0000100147	5100000488	2026	2026-07-28	197630.21	USD	H	KR	0001
1000	0000100148	5100000491	2026	2026-06-20	342038.19	JPY	H	KR	""
3000	0000100149	5100000494	2026	2026-06-26	221929.55	EUR	H	KZ	0002
1000	0000100151	5100000499	2026	2026-02-15	258894.62	GBP	H	KZ	""
1000	0000100152	5100000501	2026	2026-04-21	438590.01	EUR	H	RE	0001
1000	0000100152	5100000502	2026	2026-06-20	415369.05	GBP	H	KZ	0001
1000	0000100152	5100000503	2026	2026-06-30	47262.49	EUR	H	RE	0001
2000	0000100154	5100000509	2026	2026-03-14	364147.0	USD	H	KG	""
2000	0000100154	5100000510	2026	2026-01-24	29639.0	JPY	H	KR	""
2000	0000100154	5100000512	2026	2026-06-17	99070.77	JPY	H	KR	""
5000	0000100155	5100000517	2026	2026-02-01	431348.24	USD	H	KZ	""
1000	0000100156	5100000518	2026	2026-01-26	445390.29	USD	H	RE	""
1000	0000100156	5100000519	2026	2026-06-15	408304.26	USD	H	KZ	""
2000	0000100157	5100000521	2026	2026-08-01	190975.24	USD	H	KR	""
2000	0000100157	5100000523	2026	2026-01-23	295810.0	USD	H	RE	""
2000	0000100157	5100000524	2026	2026-03-11	53794.62	EUR	H	KZ	""
4000	0000100158	5100000527	2026	2026-08-02	223483.65	GBP	H	KZ	0001
4000	0000100158	5100000528	2026	2026-07-26	426369.82	JPY	H	KZ	0001
4000	0000100158	5100000529	2026	2026-04-28	436997.67	GBP	H	KG	0001
4000	0000100158	5100000530	2026	2026-06-09	473966.79	JPY	H	KR	0001
4000	0000100158	5100000531	2026	2026-07-21	446357.98	USD	H	KR	0001
5000	0000100159	5100000533	2026	2026-07-10	119105.56	USD	H	KZ	0001
4000	0000100160	5100000534	2026	2026-01-28	407579.67	EUR	H	KG	0001
4000	0000100160	5100000536	2026	2026-06-10	212849.05	JPY	H	RE	0001
4000	0000100160	5100000538	2026	2026-06-28	299578.21	USD	H	KR	0001
4000	0000100160	5100000539	2026	2026-07-23	38691.18	JPY	H	KZ	0001
4000	0000100161	5100000540	2026	2026-02-13	392668.25	JPY	H	KZ	""
1000	0000100162	5100000543	2026	2026-03-24	110672.85	EUR	H	KR	""
4000	0000100163	5100000546	2026	2026-02-09	262361.18	JPY	H	KZ	""
4000	0000100166	5100000550	2026	2026-06-26	38697.17	GBP	H	KG	""
2000	0000100167	5100000551	2026	2026-04-17	354253.9	GBP	H	KG	0002
2000	0000100167	5100000552	2026	2026-08-14	463222.77	USD	H	KG	""
4000	0000100168	5100000557	2026	2026-04-26	104024.1	GBP	H	KR	""
4000	0000100168	5100000559	2026	2026-08-14	422828.47	JPY	H	KZ	""
4000	0000100168	5100000560	2026	2026-06-17	325048.93	USD	H	RE	""
1000	0000100169	5100000561	2026	2026-08-14	265222.64	USD	H	KG	""
3000	0000100170	5100000563	2026	2026-02-24	207955.06	EUR	H	KR	0001
3000	0000100170	5100000564	2026	2026-07-25	85703.92	USD	H	KZ	0001
4000	0000100173	5100000572	2026	2026-03-14	335426.28	JPY	H	RE	0001
1000	0000100174	5100000574	2026	2026-01-24	229827.07	EUR	H	KR	0001
4000	0000100175	5100000575	2026	2026-06-02	434068.55	EUR	H	KG	""
4000	0000100175	5100000576	2026	2026-06-05	267275.34	JPY	H	KZ	""
4000	0000100175	5100000578	2026	2026-03-13	199441.78	GBP	H	KR	""
2000	0000100176	5100000581	2026	2026-03-06	438701.65	GBP	H	RE	""
2000	0000100176	5100000582	2026	2026-02-18	189863.61	JPY	H	KG	""
2000	0000100176	5100000583	2026	2026-07-05	382156.02	GBP	H	KR	""
4000	0000100177	5100000586	2026	2026-01-28	139072.1	JPY	H	RE	0001
4000	0000100177	5100000587	2026	2026-02-05	197457.77	EUR	H	RE	0001
4000	0000100177	5100000590	2026	2026-07-29	119751.65	EUR	H	RE	0001
2000	0000100178	5100000594	2026	2026-02-15	111900.02	GBP	H	KG	0001
5000	0000100179	5100000595	2026	2026-02-22	337679.29	EUR	H	KR	0001
5000	0000100179	5100000596	2026	2026-06-03	29536.74	USD	H	RE	0001
5000	0000100179	5100000598	2026	2026-01-03	189963.83	GBP	H	KZ	0001
5000	0000100180	5100000600	2026	2026-03-12	173352.07	GBP	H	KR	""
5000	0000100180	5100000601	2026	2026-03-04	280201.93	USD	H	RE	""
3000	0000100181	5100000605	2026	2026-07-24	200908.14	JPY	H	KG	0001
3000	0000100181	5100000606	2026	2026-01-22	290116.23	EUR	H	RE	0001
3000	0000100182	5100000608	2026	2026-06-21	234589.18	EUR	H	KG	""
4000	0000100183	5100000613	2026	2026-05-29	123867.55	JPY	H	KZ	""
2000	0000100184	5100000618	2026	2026-04-29	355776.93	EUR	H	KG	""
3000	0000100186	5100000625	2026	2026-01-16	449195.89	USD	H	KG	""
3000	0000100186	5100000627	2026	2026-01-16	268304.77	JPY	H	RE	""
3000	0000100186	5100000630	2026	2026-02-07	249825.8	JPY	H	KZ	""
3000	0000100187	5100000631	2026	2026-01-07	187893.05	JPY	H	KG	""
4000	0000100188	5100000632	2026	2026-08-12	383726.78	USD	H	KR	""
3000	0000100189	5100000635	2026	2026-07-12	327960.35	USD	H	KG	""
3000	0000100189	5100000638	2026	2026-03-13	219343.36	GBP	H	KR	""
3000	0000100189	5100000639	2026	2026-06-29	103000.24	USD	H	KZ	""
1000	0000100190	5100000641	2026	2026-03-26	215374.23	EUR	H	RE	""
4000	0000100191	5100000643	2026	2026-06-25	123527.69	JPY	H	KR	0001
4000	0000100191	5100000646	2026	2026-07-26	41913.74	USD	H	KG	0001
4000	0000100191	5100000647	2026	2026-06-13	90735.5	EUR	H	RE	0001
5000	0000100193	5100000650	2026	2026-07-17	174987.37	USD	H	KG	""
5000	0000100193	5100000652	2026	2026-06-30	255959.49	EUR	H	KG	""
5000	0000100193	5100000654	2026	2026-07-10	248616.31	GBP	H	RE	""
2000	0000100194	5100000655	2026	2026-02-04	1864.49	EUR	H	KG	""
2000	0000100196	5100000660	2026	2026-04-07	145166.76	GBP	H	RE	""
4000	0000100197	5100000662	2026	2026-06-30	12598.49	USD	H	KZ	""
5000	0000100198	5100000664	2026	2026-04-01	443538.49	EUR	H	KG	""
1000	0000100199	5100000668	2026	2026-01-07	188326.01	EUR	H	KR	""
1000	0000100199	5100000671	2026	2026-08-05	366544.51	EUR	H	RE	""
4000	0000100200	5100000677	2026	2026-04-09	70895.92	EUR	H	KZ	""
3000	0000100202	5100000680	2026	2026-07-15	444169.88	USD	H	KG	""
3000	0000100202	5100000681	2026	2026-02-16	83397.54	USD	H	KR	""
2000	0000100203	5100000686	2026	2026-02-24	84514.75	GBP	H	KZ	""
2000	0000100203	5100000689	2026	2026-02-18	225280.4	USD	H	KZ	""
5000	0000100204	5100000692	2026	2026-07-20	69629.58	JPY	H	KZ	""
5000	0000100205	5100000694	2026	2026-07-19	147545.0	USD	H	RE	""
5000	0000100205	5100000695	2026	2026-05-11	212630.28	EUR	H	KZ	""
5000	0000100205	5100000696	2026	2026-04-10	393296.34	GBP	H	KG	""
4000	0000100206	5100000698	2026	2026-06-21	125841.67	USD	H	KR	""
4000	0000100209	5100000703	2026	2026-07-16	203100.75	GBP	H	RE	0001
4000	0000100209	5100000704	2026	2026-06-06	396445.32	GBP	H	KR	0001
4000	0000100209	5100000707	2026	2026-05-13	302119.88	USD	H	KG	0001
5000	0000100211	5100000717	2026	2026-03-01	419290.84	JPY	H	RE	""
3000	0000100212	5100000718	2026	2026-03-29	255331.46	GBP	H	RE	0002
1000	0000100213	5100000722	2026	2026-07-20	165899.61	JPY	H	KR	0001
1000	0000100214	5100000724	2026	2026-07-01	150697.76	JPY	H	KR	0001
1000	0000100214	5100000725	2026	2026-03-03	123071.51	USD	H	KG	0001
1000	0000100214	5100000726	2026	2026-07-19	283383.31	JPY	H	KZ	0001
3000	0000100217	5100000734	2026	2026-07-30	101529.44	JPY	H	KR	""
3000	0000100217	5100000736	2026	2026-04-17	387493.61	GBP	H	RE	""
3000	0000100217	5100000737	2026	2026-01-04	453735.52	EUR	H	KZ	""
2000	0000100218	5100000740	2026	2026-03-28	174994.23	USD	H	RE	""
2000	0000100218	5100000741	2026	2026-03-09	450673.99	GBP	H	KZ	""
2000	0000100220	5100000746	2026	2026-08-08	450449.49	EUR	H	KR	""
2000	0000100220	5100000749	2026	2026-02-26	476584.56	GBP	H	KZ	""
4000	0000100221	5100000752	2026	2026-06-30	435605.52	USD	H	KZ	""
4000	0000100221	5100000753	2026	2026-04-07	141272.48	USD	H	KG	""
4000	0000100221	5100000754	2026	2026-04-23	327019.07	GBP	H	KG	""
2000	0000100222	5100000755	2026	2026-04-01	403044.84	JPY	H	RE	""
2000	0000100222	5100000756	2026	2026-04-29	137506.17	EUR	H	KZ	""
2000	0000100224	5100000759	2026	2026-07-10	68449.69	USD	H	KR	""
2000	0000100224	5100000761	2026	2026-03-20	240345.72	USD	H	KZ	""
5000	0000100225	5100000765	2026	2026-01-12	255887.87	JPY	H	KZ	""
5000	0000100225	5100000766	2026	2026-04-12	199079.5	GBP	H	KR	""
1000	0000100226	5100000767	2026	2026-03-12	336799.01	USD	H	RE	""
1000	0000100226	5100000768	2026	2026-02-08	367630.01	EUR	H	KR	""
5000	0000100227	5100000774	2026	2026-03-19	138324.09	JPY	H	KZ	""
5000	0000100228	5100000778	2026	2026-03-03	384659.45	JPY	H	KG	""
5000	0000100228	5100000779	2026	2026-01-04	301339.35	GBP	H	RE	""
5000	0000100228	5100000783	2026	2026-05-19	244314.91	EUR	H	KR	""
5000	0000100229	5100000787	2026	2026-01-02	289515.76	USD	H	RE	""
4000	0000100231	5100000790	2026	2026-02-01	36095.12	JPY	H	RE	0001
4000	0000100231	5100000791	2026	2026-05-19	191703.16	USD	H	KR	0001
4000	0000100231	5100000792	2026	2026-04-03	317138.17	JPY	H	KG	0001
3000	0000100232	5100000794	2026	2026-01-17	463967.91	EUR	H	RE	""
3000	0000100232	5100000797	2026	2026-05-12	307531.3	EUR	H	KR	""
5000	0000100233	5100000798	2026	2026-06-23	292808.73	GBP	H	KR	""
5000	0000100233	5100000799	2026	2026-04-08	394258.13	EUR	H	KR	""
5000	0000100233	5100000800	2026	2026-01-20	344427.87	USD	H	KZ	""
5000	0000100233	5100000801	2026	2026-04-17	162320.06	JPY	H	KR	""
3000	0000100234	5100000805	2026	2026-01-19	197222.41	GBP	H	KZ	""
5000	0000100236	5100000813	2026	2026-02-26	288401.73	EUR	H	KR	""
5000	0000100236	5100000814	2026	2026-07-29	44481.31	GBP	H	KZ	""
1000	0000100237	5100000816	2026	2026-05-04	11586.38	JPY	H	KR	""
1000	0000100237	5100000817	2026	2026-02-16	284783.55	GBP	H	KR	""
5000	0000100238	5100000821	2026	2026-02-22	382759.41	EUR	H	KG	""
5000	0000100238	5100000822	2026	2026-01-06	360713.91	USD	H	KG	""
4000	0000100241	5100000828	2026	2026-03-26	222558.82	EUR	H	KG	0002
5000	0000100242	5100000831	2026	2026-04-17	66906.03	USD	H	RE	""
5000	0000100242	5100000832	2026	2026-01-19	32888.93	EUR	H	KG	""
5000	0000100243	5100000835	2026	2026-01-08	188711.29	EUR	H	KR	""
5000	0000100243	5100000836	2026	2026-02-10	303420.73	GBP	H	RE	""
4000	0000100245	5100000840	2026	2026-01-02	358008.05	USD	H	KR	""
4000	0000100245	5100000842	2026	2026-08-09	281691.75	EUR	H	KR	""
4000	0000100245	5100000843	2026	2026-07-27	108539.67	EUR	H	KG	""
4000	0000100246	5100000848	2026	2026-01-08	17713.26	JPY	H	RE	""
5000	0000100247	5100000849	2026	2026-03-18	401037.01	GBP	H	KZ	""
5000	0000100247	5100000853	2026	2026-01-27	92007.27	EUR	H	KZ	""
2000	0000100248	5100000855	2026	2026-07-31	378913.54	EUR	H	RE	""
3000	0000100250	5100000857	2026	2026-04-07	279244.05	EUR	H	KZ	""
3000	0000100250	5100000858	2026	2026-08-17	48120.33	EUR	H	KG	""
3000	0000100251	5100000861	2026	2026-01-11	366130.01	JPY	H	KR	""
3000	0000100253	5100000867	2026	2026-05-07	336278.23	JPY	H	KG	0001
2000	0000100255	5100000873	2026	2026-08-13	344064.48	GBP	H	KZ	""
2000	0000100256	5100000876	2026	2026-06-05	182582.92	JPY	H	RE	""
2000	0000100256	5100000877	2026	2026-06-16	42507.28	USD	H	KR	""
2000	0000100256	5100000878	2026	2026-01-12	411139.75	GBP	H	KG	""
1000	0000100257	5100000882	2026	2026-02-04	290196.44	EUR	H	KG	0001
2000	0000100258	5100000885	2026	2026-07-18	242825.92	JPY	H	KR	""
2000	0000100258	5100000888	2026	2026-01-16	118375.76	GBP	H	RE	""
2000	0000100259	5100000889	2026	2026-02-13	443980.98	GBP	H	KZ	""
5000	0000100260	5100000892	2026	2026-08-14	125261.81	JPY	H	KZ	""
3000	0000100262	5100000902	2026	2026-02-12	259837.94	USD	H	RE	0001
4000	0000100263	5100000904	2026	2026-06-07	454345.82	JPY	H	KG	""
5000	0000100264	5100000907	2026	2026-06-18	315363.01	USD	H	KG	""
5000	0000100265	5100000911	2026	2026-03-01	267226.48	EUR	H	KZ	""
4000	0000100266	5100000912	2026	2026-03-07	319471.49	JPY	H	KR	""
4000	0000100266	5100000913	2026	2026-02-17	225184.96	USD	H	RE	""
