LIFNR	BUKRS	AKONT
0000100361	1000	0000160000
0000100362	2000	0000160000
0000100363	4000	0000160000
0000100364	1000	0000160000
0000100365	4000	0000160000
0000100366	5000	0000160000
0000100367	2000	0000160000
0000100368	2000	0000160000
0000100369	4000	0000160000
0000100370	2000	0000160000
0000100371	2000	0000160000
0000100372	2000	0000160000
0000100373	3000	0000160000
0000100374	4000	0000160000
0000100375	2000	0000160000
0000100376	2000	0000160000
0000100377	5000	0000160000
0000100378	5000	0000160000
0000100379	3000	0000160000
0000100380	4000	0000160000
0000100381	2000	0000160000
0000100382	5000	0000160000
0000100383	3000	0000160000
0000100384	4000	0000160000
0000100385	5000	0000160000
0000100386	2000	0000160000
0000100387	3000	0000160000
0000100388	2000	0000160000
0000100389	5000	0000160000
0000100390	1000	0000160000
0000100391	5000	0000160000
0000100392	5000	0000160000
0000100393	2000	0000160000
0000100394	3000	0000160000
0000100395	3000	0000160000
0000100396	1000	0000160000
0000100397	2000	0000160000
0000100398	5000	0000160000
0000100399	4000	0000160000
0000100400	2000	0000160000
0000100401	4000	0000160000
0000100402	2000	0000160000
0000100403	1000	0000160000
0000100404	2000	0000160000
0000100405	4000	0000160000
0000100406	4000	0000160000
0000100407	3000	0000160000
0000100408	5000	0000160000
0000100409	5000	0000160000
0000100410	2000	0000160000
0000100411	4000	0000160000
0000100412	4000	0000160000
0000100413	5000	0000160000
0000100414	3000	0000160000
0000100415	4000	0000160000
0000100416	5000	0000160000
0000100417	2000	0000160000
0000100418	2000	0000160000
0000100419	1000	0000160000
